sample_accession	experiment_accession	run_accession	sample_alias
SAMN11847615	SRX6044893	SRR9274644	bk_0021_0070_e11
SAMN11847769	SRX6044892	SRR9274645	am_0111_0076_h5
SAMN11847608	SRX6044891	SRR9274646	bk_0021_0070_c9
SAMN11847607	SRX6044890	SRR9274647	bk_0021_0070_c8
SAMN11847610	SRX6044889	SRR9274648	bk_0021_0070_d11
SAMN11847609	SRX6044888	SRR9274649	bk_0021_0070_d10
SAMN11847612	SRX6044887	SRR9274650	bk_0021_0070_d8
SAMN11847611	SRX6044886	SRR9274651	bk_0021_0070_d12
SAMN11847577	SRX6044885	SRR9274652	bk_0021_0045_a4
SAMN11847613	SRX6044884	SRR9274653	bk_0021_0070_d9
SAMN11847124	SRX6044883	SRR9274654	bq_0049_0032_a8
SAMN11847578	SRX6044882	SRR9274655	bk_0021_0045_a5
SAMN11847083	SRX6044881	SRR9274656	ao_0067_0012_b5
SAMN11847084	SRX6044880	SRR9274657	ao_0067_0012_b7
SAMN11847081	SRX6044879	SRR9274658	am_0171_0088_f3
SAMN11847082	SRX6044878	SRR9274659	ao_0067_0012_b11-BIS
SAMN11847079	SRX6044877	SRR9274660	af_0058_0071_d1
SAMN11847080	SRX6044876	SRR9274661	af_0058_0071_g6
SAMN11847077	SRX6044875	SRR9274662	af_0058_0006_c1
SAMN11847078	SRX6044874	SRR9274663	af_0058_0044_b1
SAMN11847085	SRX6044873	SRR9274664	ao_0067_0012_h8-BIS
SAMN11847086	SRX6044872	SRR9274665	ao_0067_0012_h8
SAMN11847668	SRX6044871	SRR9274666	af_0058_0067_a1
SAMN11847121	SRX6044870	SRR9274667	bq_0049_0032_a1-BIS
SAMN11847356	SRX6044869	SRR9274668	an_0080_0058_g2
SAMN11847355	SRX6044868	SRR9274669	an_0080_0058_g1
SAMN11847959	SRX6044867	SRR9274670	bq_0049_0054_g1
SAMN11847867	SRX6044866	SRR9274671	bj_0095_0052_e1
SAMN11847122	SRX6044865	SRR9274672	bq_0049_0032_a1
SAMN11847051	SRX6044864	SRR9274673	cx_0004_0064_e5
SAMN11847052	SRX6044863	SRR9274674	cx_0004_0064_g5
SAMN11847354	SRX6044862	SRR9274675	an_0080_0058_f5
SAMN11847953	SRX6044861	SRR9274676	bq_0049_0054_d3
SAMN11847952	SRX6044860	SRR9274677	bq_0049_0054_d1
SAMN11847951	SRX6044859	SRR9274678	bq_0049_0054_c3
SAMN11847950	SRX6044858	SRR9274679	bq_0049_0054_c1
SAMN11847949	SRX6044857	SRR9274680	bq_0049_0054_b6
SAMN11847353	SRX6044856	SRR9274681	an_0080_0058_f4
SAMN11847947	SRX6044855	SRR9274682	bq_0049_0054_b3
SAMN11847348	SRX6044854	SRR9274683	an_0080_0058_e3
SAMN11847956	SRX6044853	SRR9274684	bq_0049_0054_e1
SAMN11847955	SRX6044852	SRR9274685	bq_0049_0054_d6
SAMN11847988	SRX6044851	SRR9274686	av_0103_0046_g8
SAMN11847347	SRX6044850	SRR9274687	an_0080_0058_e2
SAMN11847350	SRX6044849	SRR9274688	an_0080_0058_e6
SAMN11847349	SRX6044848	SRR9274689	an_0080_0058_e4
SAMN11847774	SRX6044847	SRR9274690	am_0224_0076_b10
SAMN11847381	SRX6044846	SRR9274691	bq_0049_0032_b10
SAMN11847382	SRX6044845	SRR9274692	bq_0049_0032_b7
SAMN11847383	SRX6044844	SRR9274693	cx_0004_0037_d7
SAMN11847384	SRX6044843	SRR9274694	cx_0004_0077_d9
SAMN11847377	SRX6044842	SRR9274695	bj_0095_0063_g5
SAMN11847378	SRX6044841	SRR9274696	bj_0095_0063_g6
SAMN11847379	SRX6044840	SRR9274697	bq_0049_0032_a5-BIS
SAMN11847380	SRX6044839	SRR9274698	bq_0049_0032_a5
SAMN11847385	SRX6044838	SRR9274699	aa_0143_0001_c2
SAMN11847386	SRX6044837	SRR9274700	aa_0143_0049_a3
SAMN11847935	SRX6044836	SRR9274701	bk_0021_0081_g7
SAMN11847936	SRX6044835	SRR9274702	bk_0021_0081_g8
SAMN11847119	SRX6044834	SRR9274703	bq_0049_0022_a3
SAMN11847527	SRX6044833	SRR9274704	ao_0067_0069_h3
SAMN11847120	SRX6044832	SRR9274705	bq_0049_0022_c2
SAMN11847773	SRX6044831	SRR9274706	am_0224_0076_a8
SAMN11847117	SRX6044830	SRR9274707	bk_0021_0063_b11
SAMN11847871	SRX6044829	SRR9274708	bj_0095_0052_e5
SAMN11847118	SRX6044828	SRR9274709	bk_0021_0063_e9
SAMN11847142	SRX6044827	SRR9274710	bq_0049_0032_e12
SAMN11847872	SRX6044826	SRR9274711	bj_0095_0052_e6
SAMN11847123	SRX6044825	SRR9274712	bq_0049_0032_a6
SAMN11847388	SRX6044824	SRR9274713	aa_0143_0049_b2
SAMN11847387	SRX6044823	SRR9274714	aa_0143_0049_a4
SAMN11847390	SRX6044822	SRR9274715	aa_0143_0049_b5
SAMN11847389	SRX6044821	SRR9274716	aa_0143_0049_b4
SAMN11847392	SRX6044820	SRR9274717	aa_0143_0049_c2
SAMN11847391	SRX6044819	SRR9274718	aa_0143_0049_c1
SAMN11847394	SRX6044818	SRR9274719	aa_0143_0049_c4
SAMN11847393	SRX6044817	SRR9274720	aa_0143_0049_c3
SAMN11847396	SRX6044816	SRR9274721	aa_0143_0049_c6
SAMN11847395	SRX6044815	SRR9274722	aa_0143_0049_c5
SAMN11847469	SRX6044814	SRR9274723	am_0224_0076_a11
SAMN11847470	SRX6044813	SRR9274724	am_0224_0076_c7
SAMN11847471	SRX6044812	SRR9274725	am_0224_0076_e8
SAMN11847472	SRX6044811	SRR9274726	am_0224_0076_h11
SAMN11847473	SRX6044810	SRR9274727	am_0224_0076_h9
SAMN11847474	SRX6044809	SRR9274728	an_0080_0048_b7
SAMN11847176	SRX6044808	SRR9274729	aa_0143_0087_e9
SAMN11847175	SRX6044807	SRR9274730	aa_0143_0087_b5
SAMN11847505	SRX6044806	SRR9274731	ao_0067_0069_b1
SAMN11847600	SRX6044805	SRR9274732	bk_0021_0070_b12
SAMN11847601	SRX6044804	SRR9274733	bk_0021_0070_b7
SAMN11847602	SRX6044803	SRR9274734	bk_0021_0070_b8
SAMN11847603	SRX6044802	SRR9274735	bk_0021_0070_b9
SAMN11847604	SRX6044801	SRR9274736	bk_0021_0070_c10
SAMN11847168	SRX6044800	SRR9274737	cx_0004_0064_h6
SAMN11847167	SRX6044799	SRR9274738	cx_0004_0064_g6
SAMN11847170	SRX6044798	SRR9274739	aa_0143_0005_a3
SAMN11847169	SRX6044797	SRR9274740	aa_0143_0005_a1
SAMN11847172	SRX6044796	SRR9274741	aa_0143_0005_c10
SAMN11847171	SRX6044795	SRR9274742	aa_0143_0005_a6
SAMN11847174	SRX6044794	SRR9274743	aa_0143_0005_c3
SAMN11847173	SRX6044793	SRR9274744	aa_0143_0005_c11
SAMN11848034	SRX6044792	SRR9274745	cx_0004_0053_d2
SAMN11847943	SRX6044791	SRR9274746	bq_0049_0032_c3
SAMN11848033	SRX6044790	SRR9274747	cx_0004_0053_d1
SAMN11847866	SRX6044789	SRR9274748	bj_0095_0052_d9
SAMN11847504	SRX6044788	SRR9274749	ao_0067_0069_a6
SAMN11847865	SRX6044787	SRR9274750	bj_0095_0052_d7
SAMN11847503	SRX6044786	SRR9274751	ao_0067_0069_a5
SAMN11847875	SRX6044785	SRR9274752	bj_0095_0052_f3
SAMN11847876	SRX6044784	SRR9274753	bj_0095_0052_f4
SAMN11847286	SRX6044783	SRR9274754	bq_0049_0064_d3
SAMN11847285	SRX6044782	SRR9274755	bq_0049_0022_f1
SAMN11847776	SRX6044781	SRR9274756	am_0224_0076_c12
SAMN11847775	SRX6044780	SRR9274757	am_0224_0076_b8
SAMN11847282	SRX6044779	SRR9274758	bj_0095_0018_g1
SAMN11847281	SRX6044778	SRR9274759	bj_0095_0018_f1
SAMN11847284	SRX6044777	SRR9274760	bj_0095_0031_g2
SAMN11847283	SRX6044776	SRR9274761	bj_0095_0019_h10
SAMN11847278	SRX6044775	SRR9274762	bf_0095_0016_f3
SAMN11847277	SRX6044774	SRR9274763	bf_0095_0016_e4
SAMN11847280	SRX6044773	SRR9274764	bj_0095_0018_e1
SAMN11847279	SRX6044772	SRR9274765	bj_0095_0018_c2
SAMN11847864	SRX6044771	SRR9274766	bj_0095_0052_d6
SAMN11847336	SRX6044770	SRR9274767	an_0080_0058_c1
SAMN11847863	SRX6044769	SRR9274768	bj_0095_0052_d3
SAMN11847574	SRX6044768	SRR9274769	bj_0095_0068_b7
SAMN11847125	SRX6044767	SRR9274770	bq_0049_0032_b11
SAMN11847126	SRX6044766	SRR9274771	bq_0049_0032_b12
SAMN11847205	SRX6044765	SRR9274772	am_0070_0085_g8
SAMN11847206	SRX6044764	SRR9274773	am_0070_0085_g9
SAMN11847573	SRX6044763	SRR9274774	bj_0095_0052_a5
SAMN11847201	SRX6044762	SRR9274775	am_0070_0085_f10
SAMN11847202	SRX6044761	SRR9274776	am_0070_0085_f7
SAMN11847203	SRX6044760	SRR9274777	am_0070_0085_f8
SAMN11847204	SRX6044759	SRR9274778	am_0070_0085_g6
SAMN11847197	SRX6044758	SRR9274779	am_0070_0085_c9
SAMN11847198	SRX6044757	SRR9274780	am_0070_0085_d7
SAMN11847199	SRX6044756	SRR9274781	am_0070_0085_e6
SAMN11847200	SRX6044755	SRR9274782	am_0070_0085_e8
SAMN11847696	SRX6044754	SRR9274783	af_0058_0073_e2
SAMN11848001	SRX6044753	SRR9274784	av_0103_0069_e8
SAMN11848002	SRX6044752	SRR9274785	av_0103_0069_f9
SAMN11847327	SRX6044751	SRR9274786	an_0080_0058_a2
SAMN11847974	SRX6044750	SRR9274787	av_0103_0046_c5
SAMN11848003	SRX6044749	SRR9274788	av_0103_0069_g10
SAMN11847328	SRX6044748	SRR9274789	an_0080_0058_a4
SAMN11847768	SRX6044747	SRR9274790	am_0111_0076_h3
SAMN11847691	SRX6044746	SRR9274791	af_0058_0073_d2
SAMN11848004	SRX6044745	SRR9274792	av_0103_0069_g12
SAMN11847692	SRX6044744	SRR9274793	af_0058_0073_d3
SAMN11847997	SRX6044743	SRR9274794	av_0103_0069_d11
SAMN11847693	SRX6044742	SRR9274795	af_0058_0073_d4
SAMN11847998	SRX6044741	SRR9274796	av_0103_0069_d12
SAMN11847694	SRX6044740	SRR9274797	af_0058_0073_d5
SAMN11847999	SRX6044739	SRR9274798	av_0103_0069_e12
SAMN11847576	SRX6044738	SRR9274799	bk_0021_0045_a3
SAMN11848000	SRX6044737	SRR9274800	av_0103_0069_e7
SAMN11847767	SRX6044736	SRR9274801	am_0111_0076_g5
SAMN11847575	SRX6044735	SRR9274802	bj_0095_0068_d6
SAMN11847689	SRX6044734	SRR9274803	af_0058_0073_c5
SAMN11848016	SRX6044733	SRR9274804	av_0103_0073_h7
SAMN11847690	SRX6044732	SRR9274805	af_0058_0073_c6
SAMN11848015	SRX6044731	SRR9274806	av_0103_0073_e8
SAMN11848030	SRX6044730	SRR9274807	cx_0004_0053_c1
SAMN11847520	SRX6044729	SRR9274808	ao_0067_0069_f5
SAMN11847519	SRX6044728	SRR9274809	ao_0067_0069_f3
SAMN11847518	SRX6044727	SRR9274810	ao_0067_0069_f2
SAMN11847517	SRX6044726	SRR9274811	ao_0067_0069_f1
SAMN11847524	SRX6044725	SRR9274812	ao_0067_0069_g5
SAMN11847523	SRX6044724	SRR9274813	ao_0067_0069_g3
SAMN11847522	SRX6044723	SRR9274814	ao_0067_0069_g2
SAMN11847521	SRX6044722	SRR9274815	ao_0067_0069_g1
SAMN11847526	SRX6044721	SRR9274816	ao_0067_0069_h1
SAMN11847525	SRX6044720	SRR9274817	ao_0067_0069_g6
SAMN11847825	SRX6044719	SRR9274818	av_0103_0046_h10
SAMN11847924	SRX6044718	SRR9274819	bk_0021_0081_e8
SAMN11847923	SRX6044717	SRR9274820	bk_0021_0081_e7
SAMN11847826	SRX6044716	SRR9274821	av_0103_0046_h11
SAMN11847921	SRX6044715	SRR9274822	bk_0021_0081_e11
SAMN11847920	SRX6044714	SRR9274823	bk_0021_0081_e10
SAMN11847919	SRX6044713	SRR9274824	bk_0021_0081_d9
SAMN11847918	SRX6044712	SRR9274825	bk_0021_0081_d8
SAMN11847917	SRX6044711	SRR9274826	bk_0021_0081_d7
SAMN11848023	SRX6044710	SRR9274827	cx_0004_0053_a5
SAMN11848024	SRX6044709	SRR9274828	cx_0004_0053_a6
SAMN11847799	SRX6044708	SRR9274829	ao_0067_0047_f5
SAMN11848022	SRX6044707	SRR9274830	cx_0004_0053_a2
SAMN11848019	SRX6044706	SRR9274831	cx_0004_0044_h3
SAMN11848020	SRX6044705	SRR9274832	cx_0004_0044_h9
SAMN11847926	SRX6044704	SRR9274833	bk_0021_0081_f10
SAMN11847925	SRX6044703	SRR9274834	bk_0021_0081_e9
SAMN11847659	SRX6044702	SRR9274835	av_0103_0073_f7
SAMN11847873	SRX6044701	SRR9274836	bj_0095_0052_e7
SAMN11847944	SRX6044700	SRR9274837	bq_0049_0032_h4
SAMN11847251	SRX6044699	SRR9274838	am_0224_0080_d10
SAMN11847252	SRX6044698	SRR9274839	am_0224_0080_d11-BIS
SAMN11847253	SRX6044697	SRR9274840	am_0224_0080_d11
SAMN11847254	SRX6044696	SRR9274841	am_0224_0080_e10
SAMN11847247	SRX6044695	SRR9274842	am_0224_0080_c11
SAMN11847248	SRX6044694	SRR9274843	am_0224_0080_c12-BIS
SAMN11847249	SRX6044693	SRR9274844	am_0224_0080_c12
SAMN11847250	SRX6044692	SRR9274845	am_0224_0080_d10-BIS
SAMN11847255	SRX6044691	SRR9274846	am_0224_0080_f11
SAMN11847256	SRX6044690	SRR9274847	am_0224_0080_g10
SAMN11847805	SRX6044689	SRR9274848	av_0103_0014_f12
SAMN11847806	SRX6044688	SRR9274849	av_0103_0046_a11
SAMN11847977	SRX6044687	SRR9274850	av_0103_0046_d8
SAMN11847818	SRX6044686	SRR9274851	av_0103_0046_e7
SAMN11847874	SRX6044685	SRR9274852	bj_0095_0052_f2
SAMN11847983	SRX6044684	SRR9274853	av_0103_0046_f6
SAMN11847735	SRX6044683	SRR9274854	am_0025_0074_a12
SAMN11847736	SRX6044682	SRR9274855	am_0025_0074_b12
SAMN11847946	SRX6044681	SRR9274856	bq_0049_0054_b2
SAMN11847727	SRX6044680	SRR9274857	af_0058_0082_d4
SAMN11847728	SRX6044679	SRR9274858	af_0058_0082_e2
SAMN11847729	SRX6044678	SRR9274859	af_0058_0082_e3
SAMN11847614	SRX6044677	SRR9274860	bk_0021_0070_e10
SAMN11847731	SRX6044676	SRR9274861	af_0058_0082_f4
SAMN11847732	SRX6044675	SRR9274862	af_0058_0082_f5
SAMN11847733	SRX6044674	SRR9274863	af_0058_0082_g2
SAMN11847734	SRX6044673	SRR9274864	af_0058_0082_g5
SAMN11847318	SRX6044672	SRR9274865	am_0171_0008_c1
SAMN11847317	SRX6044671	SRR9274866	am_0070_0085_e9
SAMN11847320	SRX6044670	SRR9274867	am_0171_0066_e11
SAMN11847319	SRX6044669	SRR9274868	am_0171_0008_f2
SAMN11847322	SRX6044668	SRR9274869	am_0171_0090_g5
SAMN11847321	SRX6044667	SRR9274870	am_0171_0078_d3
SAMN11847324	SRX6044666	SRR9274871	am_0224_0086_a6
SAMN11847323	SRX6044665	SRR9274872	am_0171_0090_h5
SAMN11847326	SRX6044664	SRR9274873	an_0080_0058_a1
SAMN11847325	SRX6044663	SRR9274874	an_0080_0010_d2
SAMN11847419	SRX6044662	SRR9274875	aa_0143_0049_g6
SAMN11847420	SRX6044661	SRR9274876	aa_0143_0049_h2
SAMN11847421	SRX6044660	SRR9274877	aa_0143_0049_h4
SAMN11847422	SRX6044659	SRR9274878	aa_0143_0049_h5
SAMN11847423	SRX6044658	SRR9274879	aa_0143_0087_a8
SAMN11847424	SRX6044657	SRR9274880	aa_0143_0087_b1
SAMN11847985	SRX6044656	SRR9274881	av_0103_0046_g1
SAMN11847556	SRX6044655	SRR9274882	bf_0095_0070_b3
SAMN11847555	SRX6044654	SRR9274883	bf_0095_0070_a3
SAMN11847792	SRX6044653	SRR9274884	am_0224_0076_h7
SAMN11847550	SRX6044652	SRR9274885	bf_0095_0054_g12
SAMN11847549	SRX6044651	SRR9274886	bf_0095_0054_g11
SAMN11847548	SRX6044650	SRR9274887	bf_0095_0054_f9
SAMN11847547	SRX6044649	SRR9274888	bf_0095_0054_f8
SAMN11847554	SRX6044648	SRR9274889	bf_0095_0070_a2
SAMN11847553	SRX6044647	SRR9274890	bf_0095_0070_a1
SAMN11847552	SRX6044646	SRR9274891	bf_0095_0054_h11
SAMN11847551	SRX6044645	SRR9274892	bf_0095_0054_h10
SAMN11847157	SRX6044644	SRR9274893	bq_0049_0032_h9
SAMN11847158	SRX6044643	SRR9274894	bq_0049_0068_a8
SAMN11847346	SRX6044642	SRR9274895	an_0080_0058_e1
SAMN11847345	SRX6044641	SRR9274896	an_0080_0058_d7
SAMN11847161	SRX6044640	SRR9274897	bq_0049_0068_f8
SAMN11847162	SRX6044639	SRR9274898	bq_0049_0068_h7
SAMN11847163	SRX6044638	SRR9274899	cx_0004_0024_a2
SAMN11847164	SRX6044637	SRR9274900	cx_0004_0024_b1
SAMN11847340	SRX6044636	SRR9274901	an_0080_0058_d10
SAMN11847104	SRX6045299	SRR9274902	bf_0095_0063_b4
SAMN11847097	SRX6045298	SRR9274903	bf_0095_0037_b4
SAMN11847098	SRX6045297	SRR9274904	bf_0095_0037_g4
SAMN11847099	SRX6045296	SRR9274905	bf_0095_0037_h4
SAMN11847100	SRX6045295	SRR9274906	bf_0095_0063_a4
SAMN11847800	SRX6045294	SRR9274907	ao_0067_0047_g3
SAMN11847630	SRX6045293	SRR9274908	bk_0021_0070_h7
SAMN11847797	SRX6045292	SRR9274909	ao_0067_0047_c9
SAMN11848025	SRX6045291	SRR9274910	cx_0004_0053_a8
SAMN11847629	SRX6045290	SRR9274911	bk_0021_0070_h11
SAMN11847954	SRX6045289	SRR9274912	bq_0049_0054_d4
SAMN11847798	SRX6045288	SRR9274913	ao_0067_0047_e5
SAMN11847675	SRX6045287	SRR9274914	af_0058_0067_h1
SAMN11847676	SRX6045286	SRR9274915	af_0058_0073_a2
SAMN11848026	SRX6045285	SRR9274916	cx_0004_0053_b1
SAMN11847669	SRX6045284	SRR9274917	af_0058_0067_b2
SAMN11847670	SRX6045283	SRR9274918	af_0058_0067_c1
SAMN11847636	SRX6045282	SRR9274919	ao_0067_0047_a10
SAMN11847967	SRX6045281	SRR9274920	av_0103_0015_e1
SAMN11847970	SRX6045280	SRR9274921	av_0103_0046_b7
SAMN11847969	SRX6045279	SRR9274922	av_0103_0046_b1
SAMN11847972	SRX6045278	SRR9274923	av_0103_0046_c11
SAMN11847971	SRX6045277	SRR9274924	av_0103_0046_c10
SAMN11847635	SRX6045276	SRR9274925	av_0103_0046_h5
SAMN11847973	SRX6045275	SRR9274926	av_0103_0046_c1
SAMN11847976	SRX6045274	SRR9274927	av_0103_0046_d5
SAMN11847975	SRX6045273	SRR9274928	av_0103_0046_c8
SAMN11847673	SRX6045272	SRR9274929	af_0058_0067_f3
SAMN11847674	SRX6045271	SRR9274930	af_0058_0067_g3
SAMN11847671	SRX6045270	SRR9274931	af_0058_0067_c4
SAMN11847672	SRX6045269	SRR9274932	af_0058_0067_d4
SAMN11847546	SRX6045268	SRR9274933	bf_0095_0054_f12
SAMN11847759	SRX6045267	SRR9274934	am_0111_0076_e2
SAMN11847898	SRX6045266	SRR9274935	bk_0021_0081_a12
SAMN11847897	SRX6045265	SRR9274936	bk_0021_0081_a11
SAMN11847900	SRX6045264	SRR9274937	bk_0021_0081_a8
SAMN11847545	SRX6045263	SRR9274938	bf_0095_0054_f10
SAMN11847933	SRX6045262	SRR9274939	bk_0021_0081_g11
SAMN11847538	SRX6045261	SRR9274940	bf_0095_0054_d11
SAMN11847537	SRX6045260	SRR9274941	bf_0095_0054_d10
SAMN11847540	SRX6045259	SRR9274942	bf_0095_0054_d8
SAMN11847539	SRX6045258	SRR9274943	bf_0095_0054_d12
SAMN11847542	SRX6045257	SRR9274944	bf_0095_0054_e11
SAMN11847541	SRX6045256	SRR9274945	bf_0095_0054_d9
SAMN11847544	SRX6045255	SRR9274946	bf_0095_0054_e9
SAMN11847543	SRX6045254	SRR9274947	bf_0095_0054_e8
SAMN11847931	SRX6045253	SRR9274948	bk_0021_0081_f9
SAMN11847932	SRX6045252	SRR9274949	bk_0021_0081_g10
SAMN11847667	SRX6045251	SRR9274950	am_0171_0051_d6
SAMN11847506	SRX6045250	SRR9274951	ao_0067_0069_b2
SAMN11847929	SRX6045249	SRR9274952	bk_0021_0081_f7
SAMN11847839	SRX6045248	SRR9274953	av_0103_0073_c12
SAMN11847840	SRX6045247	SRR9274954	av_0103_0073_d10
SAMN11847837	SRX6045246	SRR9274955	av_0103_0069_h8
SAMN11847838	SRX6045245	SRR9274956	av_0103_0069_h9
SAMN11847843	SRX6045244	SRR9274957	av_0103_0073_e9
SAMN11847844	SRX6045243	SRR9274958	av_0103_0073_f10
SAMN11847841	SRX6045242	SRR9274959	av_0103_0073_d7
SAMN11847842	SRX6045241	SRR9274960	av_0103_0073_e7
SAMN11847862	SRX6045240	SRR9274961	bj_0095_0052_d2
SAMN11847861	SRX6045239	SRR9274962	bj_0095_0052_d1
SAMN11847845	SRX6045238	SRR9274963	av_0103_0073_g12
SAMN11847846	SRX6045237	SRR9274964	bj_0095_0052_a1
SAMN11847858	SRX6045236	SRR9274965	bj_0095_0052_c2
SAMN11847857	SRX6045235	SRR9274966	bj_0095_0052_c1
SAMN11847860	SRX6045234	SRR9274967	bj_0095_0052_c9
SAMN11847859	SRX6045233	SRR9274968	bj_0095_0052_c6
SAMN11847449	SRX6045232	SRR9274969	am_0052_0075_f5
SAMN11847450	SRX6045231	SRR9274970	am_0070_0075_b7
SAMN11847447	SRX6045230	SRR9274971	am_0025_0074_e8
SAMN11847448	SRX6045229	SRR9274972	am_0052_0075_c3
SAMN11847453	SRX6045228	SRR9274973	am_0070_0075_d7
SAMN11847454	SRX6045227	SRR9274974	am_0070_0075_f10
SAMN11847451	SRX6045226	SRR9274975	am_0070_0075_c7
SAMN11847452	SRX6045225	SRR9274976	am_0070_0075_c8
SAMN11847455	SRX6045224	SRR9274977	am_0070_0075_f9
SAMN11847456	SRX6045223	SRR9274978	am_0070_0075_g12
SAMN11848005	SRX6045222	SRR9274979	av_0103_0069_g7
SAMN11848006	SRX6045221	SRR9274980	av_0103_0069_g8
SAMN11847722	SRX6045220	SRR9274981	af_0058_0082_b5
SAMN11847721	SRX6045219	SRR9274982	af_0058_0082_b4
SAMN11847724	SRX6045218	SRR9274983	af_0058_0082_c3
SAMN11847723	SRX6045217	SRR9274984	af_0058_0082_b6
SAMN11847718	SRX6045216	SRR9274985	af_0058_0082_a3
SAMN11847717	SRX6045215	SRR9274986	af_0058_0082_a2
SAMN11847720	SRX6045214	SRR9274987	af_0058_0082_b1
SAMN11847719	SRX6045213	SRR9274988	af_0058_0082_a6
SAMN11847821	SRX6045212	SRR9274989	av_0103_0046_f8
SAMN11847822	SRX6045211	SRR9274990	av_0103_0046_g11
SAMN11847823	SRX6045210	SRR9274991	av_0103_0046_g2
SAMN11847824	SRX6045209	SRR9274992	av_0103_0046_g3
SAMN11847726	SRX6045208	SRR9274993	af_0058_0082_d3
SAMN11847725	SRX6045207	SRR9274994	af_0058_0082_d2
SAMN11847819	SRX6045206	SRR9274995	av_0103_0046_f10
SAMN11847820	SRX6045205	SRR9274996	av_0103_0046_f3
SAMN11847432	SRX6045204	SRR9274997	aa_0143_0089_d3
SAMN11847431	SRX6045203	SRR9274998	aa_0143_0089_c9
SAMN11847434	SRX6045202	SRR9274999	aa_0143_0089_e7
SAMN11847433	SRX6045201	SRR9275000	aa_0143_0089_e6
SAMN11847428	SRX6045200	SRR9275001	aa_0143_0089_a8
SAMN11847899	SRX6045199	SRR9275002	bk_0021_0081_a7
SAMN11847475	SRX6045198	SRR9275003	an_0080_0048_c7
SAMN11847901	SRX6045197	SRR9275004	bk_0021_0081_a9
SAMN11847904	SRX6045196	SRR9275005	bk_0021_0081_b12
SAMN11847903	SRX6045195	SRR9275006	bk_0021_0081_b11
SAMN11847906	SRX6045194	SRR9275007	bk_0021_0081_b8
SAMN11847905	SRX6045193	SRR9275008	bk_0021_0081_b7
SAMN11847476	SRX6045192	SRR9275009	an_0080_0048_d6
SAMN11847960	SRX6045191	SRR9275010	bq_0049_0054_g2
SAMN11847961	SRX6045190	SRR9275011	bq_0049_0054_g5
SAMN11847962	SRX6045189	SRR9275012	bq_0049_0054_g6
SAMN11847963	SRX6045188	SRR9275013	bq_0049_0054_h2
SAMN11847964	SRX6045187	SRR9275014	bq_0049_0054_h3
SAMN11847878	SRX6045186	SRR9275015	bj_0095_0052_f6
SAMN11847877	SRX6045185	SRR9275016	bj_0095_0052_f5
SAMN11847136	SRX6045184	SRR9275017	bq_0049_0032_c7
SAMN11847884	SRX6045183	SRR9275018	bj_0095_0052_g3
SAMN11847135	SRX6045182	SRR9275019	bq_0049_0032_c6
SAMN11847160	SRX6045181	SRR9275020	bq_0049_0068_c8
SAMN11847777	SRX6045180	SRR9275021	am_0224_0076_d10
SAMN11847778	SRX6045179	SRR9275022	am_0224_0076_d12
SAMN11847779	SRX6045178	SRR9275023	am_0224_0076_d7
SAMN11847780	SRX6045177	SRR9275024	am_0224_0076_d8
SAMN11847781	SRX6045176	SRR9275025	am_0224_0076_e9
SAMN11847782	SRX6045175	SRR9275026	am_0224_0076_f10
SAMN11847783	SRX6045174	SRR9275027	am_0224_0076_f12
SAMN11847784	SRX6045173	SRR9275028	am_0224_0076_f7
SAMN11847528	SRX6045172	SRR9275029	ao_0067_0069_h5
SAMN11847786	SRX6045171	SRR9275030	am_0224_0076_f9
SAMN11847916	SRX6045170	SRR9275031	bk_0021_0081_d12
SAMN11847881	SRX6045169	SRR9275032	bj_0095_0052_f9
SAMN11847467	SRX6045168	SRR9275033	am_0171_0009_b3
SAMN11847427	SRX6045167	SRR9275034	aa_0143_0087_e1
SAMN11847430	SRX6045166	SRR9275035	aa_0143_0089_c8
SAMN11847429	SRX6045165	SRR9275036	aa_0143_0089_c2
SAMN11847760	SRX6045164	SRR9275037	am_0111_0076_e3
SAMN11847436	SRX6045163	SRR9275038	aa_0143_0089_g10
SAMN11847435	SRX6045162	SRR9275039	aa_0143_0089_f10
SAMN11847757	SRX6045161	SRR9275040	am_0070_0075_g11
SAMN11847758	SRX6045160	SRR9275041	am_0111_0076_d6
SAMN11847763	SRX6045159	SRR9275042	am_0111_0076_e6
SAMN11847304	SRX6045158	SRR9275043	bq_0049_0072_h2
SAMN11847303	SRX6045157	SRR9275044	bq_0049_0072_h1
SAMN11847302	SRX6045156	SRR9275045	bq_0049_0072_g5
SAMN11847301	SRX6045155	SRR9275046	bq_0049_0072_g1
SAMN11847300	SRX6045154	SRR9275047	bq_0049_0072_f5
SAMN11847299	SRX6045153	SRR9275048	bq_0049_0072_f1
SAMN11847298	SRX6045152	SRR9275049	bq_0049_0072_e3
SAMN11847366	SRX6045151	SRR9275050	an_0080_0058_h6
SAMN11847363	SRX6045150	SRR9275051	an_0080_0058_h3
SAMN11847364	SRX6045149	SRR9275052	an_0080_0058_h4
SAMN11847361	SRX6045148	SRR9275053	an_0080_0058_h1
SAMN11847362	SRX6045147	SRR9275054	an_0080_0058_h2
SAMN11847359	SRX6045146	SRR9275055	an_0080_0058_g5
SAMN11847360	SRX6045145	SRR9275056	an_0080_0058_g6
SAMN11847306	SRX6045144	SRR9275057	bq_0049_0072_h5
SAMN11847305	SRX6045143	SRR9275058	bq_0049_0072_h3
